titre,compound,sentiment,color
"Market Madness: Why JPMorgan, McDonald's are slam dunk stock picks",-0.6705,NEGATIF,red
Retirees Who Are Worried About Iran May Want To Look at SPLG Right Now,-0.2263,NEGATIF,red
Forget Yield Chasing Right Now and Buy These Growth ETFs Instead,0.1779,NEUTRE,gray
Exclusive-Amazon plans smartphone comeback more than a decade after Fire Phone f,-0.5859,NEGATIF,red
Tim Cook To Exit As Apple CEO Before 2027? Here's What Prediction Market Is Sayi,0.0,NEUTRE,gray
Is Apple Stock Your Ticket to Becoming a Millionaire?,0.0,NEUTRE,gray
"Prediction: This Neocloud Stock Will Outperform the ""Magnificent Seven"" in 2026",0.5994,POSITIF,green
"Family Manage LLC Initiates 15.58 Million Position in TCW Flexible Income ETF, A",0.2263,POSITIF,green
Calydon Capital Dumps $9 Million of ZoomInfo Amid Stock's 92% Decline Since 2021,-0.4019,NEGATIF,red
These Tech Stocks Are Still a Buy for Many People Even as Iran War Pullback Inte,-0.5994,NEGATIF,red
